CustID,Address,Age,Callcard,Callid,Callwait,Cardmon,Cardten,Confer,Custcat,Ebill,Education,Employ,Equip,Equipmon,Equipten,Forward,GeFemaleder,Income,Internet,lnInc,LogLong,LongMon,LongTen,Marital,Multline,Pager,Region,Reside,Retire,Tenure,Tollfree,Tollmon,Tollten,Voice,Wireless,Wiremon,Wireten
C00124,9,44,Y,N,N,7.5,110,N,C1,N,E4,5,N,0,0,Y,Female,64,N,4.159,1.308,3.7,37.45,Y,N,N,R2,2,N,13,N,0,0,N,N,0,0
C00125,24,52,Y,Y,Y,30.25,2150,Y,C3,N,E1,29,N,0,0,N,Male,116,N,4.754,2.899,18.15,1300.6,Y,N,N,R3,2,N,68,Y,18,1247.2,N,N,0,0
C00126,9,30,N,Y,N,0,0,Y,C3,N,E1,2,N,0,0,Y,Female,30,N,3.401,1.841,6.3,157.05,Y,N,N,R2,4,N,23,N,0,0,N,N,0,0
C00127,2,22,Y,N,Y,8.75,415,N,C2,Y,E2,4,N,0,0,N,Male,19,Y,2.944,2.389,10.9,504.5,Y,Y,N,R3,5,N,45,N,0,0,N,N,0,0
C00128,7,59,Y,Y,Y,12,505,Y,C3,N,E4,31,N,0,0,Y,Female,166,N,5.112,2.277,9.75,449.05,Y,Y,N,R3,5,N,45,Y,28.5,1240.15,N,N,0,0
C00129,10,33,N,N,N,0,0,N,C1,Y,E4,5,Y,26.15,110.1,N,Male,125,Y,4.828,1.579,4.85,17.25,N,N,Y,R2,1,N,5,N,0,0,N,N,0,0
C00130,8,38,Y,N,N,41.75,1650,N,C1,N,E2,9,N,0,0,N,Male,37,N,3.611,2.146,8.55,308.7,Y,N,N,R1,3,N,41,N,0,0,N,N,0,0
C00131,3,46,N,N,N,0,0,N,C1,N,E1,8,N,0,0,N,Male,25,N,3.219,1.482,4.4,36.8,N,N,N,R2,2,N,9,N,0,0,N,N,0,0
C00132,38,57,Y,Y,Y,30,1795,Y,C3,N,E2,30,Y,31.3,1788.95,Y,Female,162,N,5.088,2.782,16.15,946.9,N,Y,N,R3,1,N,60,Y,29.75,1767.6,N,N,0,0
C00133,3,24,N,N,N,0,0,N,C1,N,E1,3,N,0,0,N,Female,20,N,2.996,0.049,1.05,1.05,N,N,N,R2,1,N,1,N,0,0,N,N,0,0
C00134,7,30,N,N,Y,0,0,N,C2,N,E3,1,Y,33.8,175.3,N,Male,16,Y,2.773,1.322,3.75,25.65,N,Y,Y,R3,1,N,6,N,0,0,N,Y,18.7,78.2
C00135,10,33,Y,N,Y,26.75,1340,Y,C4,Y,E5,4,Y,49.6,2499.8,Y,Male,101,Y,4.615,1.668,5.3,253.35,N,Y,N,R3,2,N,53,N,0,0,Y,Y,51.4,2645.15
C00136,18,43,Y,Y,Y,18,215,Y,C3,N,E1,5,N,0,0,Y,Female,36,N,3.584,2.526,12.5,153.75,Y,N,N,R3,5,N,14,Y,19.75,273.75,N,N,0,0
C00137,7,40,Y,Y,Y,28,1190,Y,C4,Y,E2,8,Y,36.9,1532.9,N,Male,37,Y,3.611,2.11,8.25,399.15,N,Y,N,R2,1,N,42,Y,23.5,950.65,Y,Y,37.4,1562
C00138,1,21,N,Y,N,0,0,N,C1,N,E2,2,N,0,0,N,Male,17,N,2.833,1.065,2.9,25.25,Y,N,N,R1,3,N,9,N,0,0,N,N,0,0
C00139,6,37,Y,N,N,18.25,1005,N,C2,Y,E1,13,Y,31.1,1756.35,N,Male,36,Y,3.584,2.361,10.6,582.6,Y,Y,N,R1,2,N,56,N,0,0,N,N,0,0
C00140,26,50,Y,N,Y,35,1215,Y,C3,N,E2,21,N,0,0,Y,Male,140,N,4.942,1.872,6.5,247.55,Y,N,N,R1,4,N,,Y,27.5,1068.25,N,N,0,0
C00141,13,46,Y,N,Y,13.75,840,Y,C4,Y,E3,24,Y,44.65,2645.85,Y,Female,163,Y,5.094,3.523,33.9,1947.95,Y,Y,Y,R2,2,N,60,Y,38.25,2326.35,Y,Y,55.25,3125.95
C00142,38,60,Y,Y,N,54.25,2785,Y,C4,Y,E4,25,Y,46.35,2421.3,N,Female,211,Y,5.352,3.052,21.15,1228.7,N,Y,Y,R2,1,N,54,Y,39.25,2102.25,Y,Y,54.85,2895.85
C00143,0,41,Y,Y,Y,19.75,200,Y,C3,N,E1,1,N,0,0,Y,Male,39,N,3.664,1.879,6.55,67.8,Y,N,N,R1,2,N,11,Y,29.25,303.65,Y,N,0,0
C00144,7,41,Y,Y,Y,53.75,490,Y,C3,N,E1,7,N,0,0,Y,Female,30,N,3.401,0.916,2.5,31.25,N,N,N,R3,1,N,10,Y,19.25,178.2,N,N,0,0
